affaibli,affaiblis,affaiblie,affaiblies
affaiblissant,affaiblissants,affaiblissante,affaiblissantes
affaiblisseur,affaiblisseurs,affaiblisseuse,affaiblisseuses
affairiste,affairistes,affairiste,affairistes
affairé,affairés,affairée,affairées
affamé,affamés,affamée,affamées
affectable,affectables,affectable,affectables
affectataire,affectataires,affectataire,affectataires
affectif,affectifs,affective,affectives
affectionné,affectionnés,affectionnée,affectionnées
affectueux,affectueux,affectueuse,affectueuses
affecté,affectés,affectée,affectées
affermable,affermables,affermable,affermables
affermi,affermis,affermie,affermies
affichable,affichables,affichable,affichables
affidé,affidés,affidée,affidées
affilié,affiliés,affiliée,affiliées
affilé,affilés,affilée,affilées
affin,affins,affine,affines
affine,affines,affine,affines
affinitaire,affinitaires,affinitaire,affinitaires
affiné,affinés,affinée,affinées
affirmatif,affirmatifs,affirmative,affirmatives
affixal,affixaux,affixale,affixales
affixe,affixes,affixe,affixes
affixé,affixés,affixée,affixées
afflictif,afflictifs,afflictive,afflictives
affligeant,affligeants,affligeante,affligeantes
affluent,affluents,affluente,affluentes
affolant,affolants,affolante,affolantes
affolé,affolés,affolée,affolées
affouager,affouagers,affouagère,affouagères
affouillable,affouillables,affouillable,affouillables
affranchi,affranchis,affranchie,affranchies
affranchissable,affranchissables,affranchissable,affranchissables
affranchisseur,affranchisseurs,affranchisseuse,affranchisseuses
affreux,affreux,affreuse,affreuses
affriolant,affriolants,affriolante,affriolantes
,,affriquée,affriquées
affronté,affrontés,affrontée,affrontées
afférent,afférents,afférente,afférentes
affété,affétés,affétée,affétées
affûté,affûtés,affûtée,affûtées
afghan,afghans,afghane,afghanes
afocal,afocaux,afocale,afocales
africain,africains,africaine,africaines
africaniste,africanistes,africaniste,africanistes
afrikaander,afrikaanders,afrikaander,afrikaanders
afrikander,afrikanders,afrikander,afrikanders
afrikaner,afrikaners,afrikaner,afrikaners
afro,afro,afro,afro
afro\-américain,,,
,afro\-américains,afro\-américaine,afro\-américaines
afro\-asiatique,,afro\-asiatique,
afro\-brésilien,,,
,afro\-brésiliens,,
afro\-cubain,,,
,afro\-cubains,,afro\-cubaines
afroaméricain,afroaméricains,afroaméricaine,afroaméricaines
afroasiatique,afroasiatiques,afroasiatique,afroasiatiques
afrocentriste,afrocentristes,afrocentriste,afrocentristes
agaillardi,agaillardis,agaillardie,agaillardies
agame,agames,agame,agames
agatin,agatins,agatine,agatines
agatisé,agatisés,agatisée,agatisées
agaçant,agaçants,agaçante,agaçantes
agenais,agenais,agenaise,agenaises
agentif,agentifs,agentive,agentives
aggadique,aggadiques,aggadique,aggadiques
agglomérant,agglomérants,agglomérante,agglomérantes
agglomératif,agglomératifs,agglomérative,agglomératives
aggloméré,agglomérés,agglomérée,agglomérées
agglutinable,agglutinables,agglutinable,agglutinables
agglutinant,agglutinants,agglutinante,agglutinantes
agglutiné,agglutinés,agglutinée,agglutinées
aggravant,aggravants,aggravante,aggravantes
agile,agiles,agile,agiles
agissant,agissants,agissante,agissantes
agitant,agitants,agitante,agitantes
agité,agités,agitée,agitées
aglomérulaire,aglomérulaires,aglomérulaire,aglomérulaires
aglosse,aglosses,aglosse,aglosses
aglyphe,aglyphes,aglyphe,aglyphes
agminé,agminés,agminée,agminées
agnat,agnats,agnate,agnates
agnathe,agnathes,agnathe,agnathes
agnatique,agnatiques,agnatique,agnatiques
,,agneline,agnelines
agnosique,agnosiques,agnosique,agnosiques
agnostique,agnostiques,agnostique,agnostiques
agogique,agogiques,agogique,agogiques
agonique,agoniques,agonique,agoniques
agonisant,agonisants,agonisante,agonisantes
agoniste,agonistes,agoniste,agonistes
agonistique,agonistiques,agonistique,agonistiques
agoraphobe,agoraphobes,agoraphobe,agoraphobes
agouant,agouants,agouante,agouantes
agrafeur,agrafeurs,agrafeuse,agrafeuses
agrafé,agrafés,agrafée,agrafées
agraire,agraires,agraire,agraires
agrammatical,agrammaticaux,agrammaticale,agrammaticales
agrammatique,agrammatiques,agrammatique,agrammatiques
agrandi,agrandis,agrandie,agrandies
agranulaire,agranulaires,agranulaire,agranulaires
agraphique,agraphiques,agraphique,agraphiques
agrarien,agrariens,agrarienne,agrariennes
agresseur,agresseurs,agresseuse,agresseuses
agressif,agressifs,agressive,agressives
agressé,agressés,agressée,agressées
agreste,agrestes,agreste,agrestes
agricole,agricoles,agricole,agricoles
agrippant,agrippants,agrippante,agrippantes
agro\-alimentaire,,agro\-alimentaire,
,agro\-alimentaires,,agro\-alimentaires
agro\-industriel,,,
,agro\-industriels,,
agroalimentaire,agroalimentaires,agroalimentaire,agroalimentaires
agrobiologique,agrobiologiques,agrobiologique,agrobiologiques
agrochimique,agrochimiques,agrochimique,agrochimiques
agroclimatologique,agroclimatologiques,agroclimatologique,agroclimatologiques
agrogéologique,agrogéologiques,agrogéologique,agrogéologiques
agrologique,agrologiques,agrologique,agrologiques
agrométéorologique,agrométéorologiques,agrométéorologique,agrométéorologiques
agronomique,agronomiques,agronomique,agronomiques
agropastoral,agropastoraux,agropastorale,agropastorales
agrotechnique,agrotechniques,agrotechnique,agrotechniques
agréable,agréables,agréable,agréables
agréable à l'oeil,agréables à l'oeil,agréable à l'oeil,agréables à l'oeil
agréable à l'oreille,,agréable à l'oreille,
agrégatif,agrégatifs,agrégative,agrégatives
agrégeable,agrégeables,agrégeable,agrégeables
agrégé,agrégés,agrégée,agrégées
agréé,agréés,agréée,agréées
aguichant,aguichants,aguichante,aguichantes
aguicheur,aguicheurs,aguicheuse,aguicheuses
agénésique,agénésiques,agénésique,agénésiques
ahanant,ahanants,ahanante,ahanantes
ahistorique,ahistoriques,ahistorique,ahistoriques
ahuri,ahuris,ahurie,ahuries
ahurissant,ahurissants,ahurissante,ahurissantes
aigre,aigres,aigre,aigres
,aigres\-doux,aigre\-douce,aigres\-douces
aigre\-doux,,,
aigrelet,aigrelets,aigrelette,aigrelettes
aigretté,aigrettés,aigrettée,aigrettées
aigri,aigris,aigrie,aigries
aigrissant,aigrissants,aigrissante,aigrissantes
aigu,aigus,aiguë,aiguës
aiguilleté,aiguilletés,aiguilletée,aiguilletées
aiguisable,aiguisables,aiguisable,aiguisables
aiguiseur,aiguiseurs,aiguiseuse,aiguiseuses
aiguisé,aiguisés,aiguisée,aiguisées
ailé,ailés,ailée,ailées
aimable,aimables,aimable,aimables
aimant,aimants,aimante,aimantes
aimanté,aimantés,aimantée,aimantées
aimé,aimés,aimée,aimées
aise,aises,aise,aises
aisé,aisés,aisée,aisées
aixois,aixois,aixoise,aixoises
ajiste,ajistes,ajiste,ajistes
ajournable,ajournables,ajournable,ajournables
ajourné,ajournés,ajournée,ajournées
ajouré,ajourés,ajourée,ajourées
ajustable,ajustables,ajustable,ajustables
ajusté,ajustés,ajustée,ajustées
akinétique,akinétiques,akinétique,akinétiques
akkadien,akkadiens,akkadienne,akkadiennes
akritique,akritiques,akritique,akritiques
alabastrin,alabastrins,alabastrine,alabastrines
alaire,alaires,alaire,alaires
alambiqué,alambiqués,alambiquée,alambiquées
alangui,alanguis,alanguie,alanguies
alanguissant,alanguissants,alanguissante,alanguissantes
alaouite,alaouites,alaouite,alaouites
alarmant,alarmants,alarmante,alarmantes
alarmiste,alarmistes,alarmiste,alarmistes
alarmé,alarmés,alarmée,alarmées
albanais,albanais,albanaise,albanaises
albanophone,albanophones,albanophone,albanophones
albien,albiens,albienne,albiennes
albigeois,albigeois,albigeoise,albigeoises
albinos,albinos,albinos,albinos
alboche,alboches,alboche,alboches
albuginé,albuginés,albuginée,albuginées
albumineux,albumineux,albumineuse,albumineuses
albuminorachique,albuminorachiques,albuminorachique,albuminorachiques
albuminoïde,albuminoïdes,albuminoïde,albuminoïdes
albuminurique,albuminuriques,albuminurique,albuminuriques
albuminé,albuminés,albuminée,albuminées
albumoïde,albumoïdes,albumoïde,albumoïdes
alcalescent,alcalescents,alcalescente,alcalescentes
alcali résistant,alcali résistants,,
alcalifiant,alcalifiants,alcalifiante,alcalifiantes
alcalimétrique,alcalimétriques,alcalimétrique,alcalimétriques
alcalin,alcalins,alcaline,alcalines
alcalinisant,alcalinisants,alcalinisante,alcalinisantes
alcalinoterreux,alcalinoterreux,alcalinoterreuse,alcalinoterreuses
alcaloïdique,alcaloïdiques,alcaloïdique,alcaloïdiques
alcaloïfère,alcaloïfères,alcaloïfère,alcaloïfères
alcaïque,alcaïques,alcaïque,alcaïques
alchimique,alchimiques,alchimique,alchimiques
alcoolique,alcooliques,alcoolique,alcooliques
alcoolisable,alcoolisables,alcoolisable,alcoolisables
alcoolisé,alcoolisés,alcoolisée,alcoolisées
alcoolémique,alcoolémiques,alcoolémique,alcoolémiques
alcoométrique,alcoométriques,alcoométrique,alcoométriques
alcyonien,alcyoniens,alcyonienne,alcyoniennes
aldin,aldins,aldine,aldines
aldonique,aldoniques,aldonique,aldoniques
aldéhydique,aldéhydiques,aldéhydique,aldéhydiques
alerte,alertes,alerte,alertes
aleucémique,aleucémiques,aleucémique,aleucémiques
aleurobie,aleurobies,aleurobie,aleurobies
alexandrin,alexandrins,alexandrine,alexandrines
alexique,alexiques,alexique,alexiques
alezan,alezans,alezane,alezanes
alfatier,alfatiers,alfatière,alfatières
algal,algaux,algale,algales
algide,algides,algide,algides
alginique,alginiques,alginique,alginiques
algique,algiques,algique,algiques
algogène,algogènes,algogène,algogènes
algologique,algologiques,algologique,algologiques
algonkien,algonkiens,algonkienne,algonkiennes
