atterri;atterris;atterrie;atterries
attesté;attestés;attestée;attestées
attifé;attifés;attifée;attifées
attigé;attigés;attigée;attigées
attiré;attirés;attirée;attirées
attisé;attisés;attisée;attisées
attitré;attitrés;attitrée;attitrées
attiédi;attiédis;attiédie;attiédies
attouché;attouchés;attouchée;attouchées
attrapé;attrapés;attrapée;attrapées
attrempé;attrempés;attrempée;attrempées
attribué;attribués;attribuée;attribuées
attristé;attristés;attristée;attristées
attroupé;attroupés;attroupée;attroupées
atténué;atténués;atténuée;atténuées
attéré;attérés;attérée;attérées
aubadé;aubadés;aubadée;aubadées
aubergé;aubergés;aubergée;aubergées
aubiné;aubinés;aubinée;aubinées
auditionné;auditionnés;auditionnée;auditionnées
augmenté;augmentés;augmentée;augmentées
auguré;augurés;augurée;augurées
aumôné;aumônés;aumônée;aumônées
auné;aunés;aunée;aunées
aurifié;aurifiés;aurifiée;aurifiées
auréolé;auréolés;auréolée;auréolées
ausculté;auscultés;auscultée;auscultées
authentifié;authentifiés;authentifiée;authentifiées
authentiqué;authentiqués;authentiquée;authentiquées
autocratisé;autocratisés;autocratisée;autocratisées
autofinancé;autofinancés;autofinancée;autofinancées
autofécondé;autofécondés;autofécondée;autofécondées
autographié;autographiés;autographiée;autographiées
autolysé;autolysés;autolysée;autolysées
automatisé;automatisés;automatisée;automatisées
autopsié;autopsiés;autopsiée;autopsiées
autorisé;autorisés;autorisée;autorisées
avachi;avachis;avachie;avachies
avalé;avalés;avalée;avalées
avalisé;avalisés;avalisée;avalisées
avancé;avancés;avancée;avancées
avanisé;avanisés;avanisée;avanisées
avantagé;avantagés;avantagée;avantagées
avarié;avariés;avariée;avariées
aveint;aveints;aveinte;aveintes
avenu;avenus;avenue;avenues
aventuré;aventurés;aventurée;aventurées
averti;avertis;avertie;averties
aveué;aveués;aveuée;aveuées
aveuglé;aveuglés;aveuglée;aveuglées
aveuli;aveulis;aveulie;aveulies
avileni;avilenis;avilenie;avilenies
avili;avilis;avilie;avilies
aviné;avinés;avinée;avinées
avironné;avironnés;avironnée;avironnées
avisé;avisés;avisée;avisées
avitaillé;avitaillés;avitaillée;avitaillées
avivé;avivés;avivée;avivées
avocassé;avocassés;avocassée;avocassées
avoiné;avoinés;avoinée;avoinées
eu;eus;eue;eues
