MOT;PLURIEL;FÉMININ;FEMININ_PLURIEL
acyanoblepsie;acyanoblepsies;;
acène;acènes;;
acète;acètes;;
acénaphtylène;acénaphtylènes;;
acénaphtène;acénaphtènes;;
acéphale;acéphales;;
acéphalie;acéphalies;;
acéphalien;acéphaliens;acéphalienne;acéphaliennes
acéphalé;acéphalés;acéphalée;acéphalées
acéracée;acéracées;;
acérathérium;acérathériums;;
acéride;acérides;;
acérinée;acérinées;;
acérure;acérures;;
acétabulaire;acétabulaires;;
acétabulariée;acétabulariées;;
acétabule;acétabules;;
acétabulum;acétabulums;;
acétal;acétals;;
acétaldéhyde;acétaldéhydes;;
acétamide;acétamides;;
acétanilide;acétanilides;;
acétate;acétates;;
acétification;acétifications;;
acétimètre;acétimètres;;
acétol;acétols;;
acétone;acétones;;
acétyle;acétyles;;
acétylisation;acétylisations;;
acétylure;acétylures;;
acétylène;acétylènes;;
acétylénique;acétyléniques;;
acétène;acétènes;;
adage;adages;;
adagio;adagios;;
adalid;adalids;;
adam;adams;;
adamantinome;adamantinomes;;
adamien;adamiens;adamienne;adamiennes
adamite;adamites;;
adaptabilité;adaptabilités;;
adaptateur;adaptateurs;adaptatrice;adaptatrices
adaptation;adaptations;;
adapté;adaptés;adaptée;adaptées
adatis;;;
addenda;addendas;;
addigitation;addigitations;;
addisonien;addisoniens;;
addisonisme;addisonismes;;
additif;additifs;;
addition;additions;;
additionnement;additionnements;;
additionneuse;additionneuses;;
additivité;additivités;;
adducteur;adducteurs;;
adduction;adductions;;
adelaisi;adelaisis;;
adelphie;adelphies;;
adelphixie;adelphixies;;
adelphophagie;adelphophagies;;
ademption;ademptions;;
adent;adents;;
adeptat;adeptats;;
adepte;adeptes;;
adermine;adermines;;
aderne;adernes;;
adessif;adessifs;;
adhérence;adhérences;;
adhérent;adhérents;adhérente;adhérentes
adhésif;adhésifs;adhésive;adhésives
adhésion;adhésions;;
adhésivité;adhésivités;;
adiabatie;adiabaties;;
adiabatique;adiabatiques;;
adiabatisme;adiabatismes;;
adiadococinésie;adiadococinésies;;
adiantacée;adiantacées;;
adiante;adiantes;;
adiantidée;adiantidées;;
adiantite;adiantites;;
adiaphorie;adiaphories;;
adieu;adieus;;
adipeux;;adipeuse;adipeuses
adipide;adipides;;
adipose;adiposes;;
adiposité;adiposités;;
aditif;aditifs;;
adition;aditions;;
adive;adives;;
adja;adjas;;
adjectif;adjectifs;;
adjection;adjections;;
adjoint;adjoints;adjointe;adjointes
adjonctif;adjonctifs;;
adjonction;adjonctions;;
adjudant;adjudants;adjudante;adjudante
adjudicataire;adjudicataires;;
adjudicateur;adjudicateurs;adjudicatrice;adjudicatrices
adjudication;adjudications;;
adjuration;adjurations;;
adjuteur;adjuteurs;adjutrice;adjutrices
adjutoire;adjutoires;;
adjuvance;adjuvances;;
adjuvant;adjuvants;;
adjuvat;adjuvats;;
adlérien;adlériens;adlérienne;adlériennes
adlérisme;adlérismes;;
admaxillaire;admaxillaires;;
adminicule;adminicules;;
administrant;administrants;administrante;administrantes
administrateur;administrateurs;administratrice;administratrices
administratif;administratifs;administrative;administratives
administration;administrations;;
administré;administrés;administrée;administrées
admirant;admirants;admirante;admirantes
admirateur;admirateurs;admiratrice;admiratrices
admiration;admirations;;
admiromane;admiromanes;;
admiromanie;admiromanies;;
admis;;admise;admises
admissibilité;admissibilités;;
admissible;admissibles;;
admission;admissions;;
admittance;admittances;;
admonestation;admonestations;;
admonesté;admonestés;;
admoniteur;admoniteurs;admonitrice;admonitrices
admonition;admonitions;;
admonétation;admonétations;;
admonété;admonétés;;
adnotation;adnotations;;
adné;adnés;adnée;adnées
adobe;adobes;;
adolescence;adolescences;;
adolescent;adolescents;adolescente;adolescentes
adon;adons;;
adonide;adonides;;
adonidine;adonidines;;
adonie;adonies;;
adonien;adoniens;adonienne;adoniennes
adonique;adoniques;;
adonis;;;
adoniseur;adoniseurs;;
adonisier;adonisiers;;
adoniste;adonistes;;
adoptant;adoptants;adoptante;adoptantes
adoptien;adoptiens;adoptienne;adoptiennes
adoption;adoptions;;
adopté;adoptés;adoptée;adoptées
adorant;adorants;adorante;adorantes
adorateur;adorateurs;adoratrice;adoratrices
adoration;adorations;;
adoré;adorés;adorée;adorées
ados;;;
adossement;adossements;;
adoubement;adoubements;;
adoubeur;adoubeurs;;
adouci;adoucis;;
adoucissage;adoucissages;;
adoucissant;adoucissants;;
adoucissement;adoucissements;;
