MOT;PLURIEL;FÉMININ;FEMININ_PLURIEL
agatifié;agatifiés;agatifiée;agatifiées
agatifère;agatifères;;agatins
agatin;agatins;agatine;agatines
agatisé;agatisés;agatisée;agatisées
agatoïde;agatoïdes;;agatoïques
agatoïque;agatoïques;;agatés
agaté;agatés;agatée;agatées
agavé;agavés;agavée;agavées
agaçable;agaçables;;agaçants
agaçant;agaçants;agaçante;agaçantes
agenais;agenaise;agenaises;
agencé;agencés;agencée;agencées
agenouillé;agenouillés;agenouillée;agenouillées
agglomérant;agglomérants;agglomérante;agglomérantes
aggloméré;agglomérés;agglomérée;agglomérées
agglutinable;agglutinables;;agglutinants
agglutinant;agglutinants;agglutinante;agglutinantes
agglutinateur;agglutinateurs;agglutinatrice;agglutinatrices
agglutinatif;agglutinatifs;agglutinative;agglutinatives
agglutinogène;agglutinogènes;;agglutinés
agglutiné;agglutinés;agglutinée;agglutinées
aggravant;aggravants;aggravante;aggravantes
aggravé;aggravés;aggravée;aggravées
agide;agides;;agiles
agile;agiles;;agioteurs
agioteur;agioteurs;agioteuse;agioteuses
agissant;agissants;agissante;agissantes
agitable;agitables;;agitants
agitant;agitants;agitante;agitantes
agitateur;agitateurs;agitatrice;agitatrices
agitato;agitatos;;agités
agité;agités;agitée;agitées
aglosse;aglosses;;aglyphes
aglyphe;aglyphes;;agminés
agminé;agminés;agminée;agminées
agnathe;agnathes;;agnatiques
agnatique;agnatiques;;agnelins
agnelin;agnelins;agneline;agnelines
agnosticiste;agnosticistes;;agnostiques
agnostique;agnostiques;;agogiques
agogique;agogiques;;agonaux
agonal;agonaux;agonale;agonales
agone;agones;;agoniques
agonique;agoniques;;agonisants
agonisant;agonisants;agonisante;agonisantes
agoniste;agonistes;;agonistiques
agonistique;agonistiques;;agouants
agouant;agouants;agouante;agouantes
agourmandi;agourmandis;agourmandie;agourmandies
agrafé;agrafés;agrafée;agrafées
agraire;agraires;;agrairiennes
agrairien;agrairiennes;agrairien;agrairiens
agrandissant;agrandissants;agrandissante;agrandissantes
agrarien;agrariennes;agrarien;agrariens
agresseur;agresseurs;agresseuse;agresseuses
agressif;agressifs;agressive;agressives
agreste;agrestes;;agricoles
agricole;agricoles;;agriculteurs
